strong;	1	1024	4	0.000353384	0.000353384	0.000353384	0.000800896	0.000800896	0.000800896	0.0220092	0.0220092	0.0220092	27.4634	27.4634	27.4634	2.86102e-07	2.86102e-07	2.86102e-07	4.80915e-05	4.80915e-05	4.80915e-05	3.86525e-06	3.86525e-06	3.86525e-06	0.000899597	0.000899597	0.000899597	5.88061e-05	5.88061e-05	5.88061e-05	
TACC:  Shutdown complete. Exiting. 

TACC:  Starting up job 3268034 
TACC:  Starting parallel tasks... 
msgPrefix	npes	pts_per_core	eleOrder	sort(min)	sort(mean)	sort(max)	constr(min)	constr(mean)	constr(max)	bal(min)	bal(mean)	bal(max)	adaptive_oda(min)	adaptive_oda(mean)	adaptive_oda(max)	ghostexchange(min)	ghostexchange(mean)	ghostexchange(max)	topdown(min)	topdown(mean)	topdown(max)	bottomup(min)	bottomup(mean)	bottomup(max)	treeinterior(min)	treeinterior(mean)	treeinterior(max)	elemental(min)	elemental(mean)	elemental(max)	
strong;	16	64	4	0.000143909	0.000627184	0.00108323	0.000358462	0.000361066	0.000363278	0.0072659	0.00726718	0.007268	16.8094	16.81	16.8105	0.00120511	0.00360471	0.00552535	5.9409e-05	7.21225e-05	8.81916e-05	5.1823e-06	6.2519e-06	7.45919e-06	0.000772027	0.000773239	0.000778178	5.20109e-05	5.20777e-05	5.24483e-05	
TACC:  Shutdown complete. Exiting. 

TACC:  Starting up job 3268034 
TACC:  Starting parallel tasks... 

===================================================================================
=   BAD TERMINATION OF ONE OF YOUR APPLICATION PROCESSES
=   PID 119962 RUNNING AT c491-052
=   EXIT CODE: 11
=   CLEANING UP REMAINING PROCESSES
=   YOU CAN IGNORE THE BELOW CLEANUP MESSAGES
===================================================================================
   Intel(R) MPI Library troubleshooting guide:
      https://software.intel.com/node/561764
===================================================================================
TACC:  MPI job exited with code: 11 
TACC:  Shutdown complete. Exiting. 

TACC:  Starting up job 3268034 
TACC:  Starting parallel tasks... 
