npes	sort(min)	sort(mean)	sort(max)	cons(min)	cons(mean)	cons(max)	bal(min)	bal(mean)	bal(max)	cg(min)	cg(mean)	cg(max)	sm(min)	sm(mean)	sm(max)
48	0.000605392	0.00239951	0.00598707	0.002174	0.00220007	0.00222664	0.142851	0.142867	0.142902	9.98915	10.0135	10.0222	38.4103	38.4103	38.4103
96	0.00072341	0.00276908	0.00594435	0.00488825	0.00528837	0.00569	0.158677	0.159065	0.159461	10.2846	10.2912	10.2984	39.4141	39.4141	39.4142
192	0.00131297	0.00315939	0.00604224	0.00554843	0.00607053	0.00649543	0.172047	0.172431	0.172944	10.0526	10.0595	10.0703	41.365	41.3651	41.3651
384	0.00292101	0.00491288	0.00836525	0.00703273	0.00861955	0.00955982	0.199865	0.200745	0.202311	11.3539	11.3615	11.3868	36.6525	36.6526	36.6526
768	0.0043654	0.00698874	0.00947785	0.0208686	0.0224367	0.0234188	0.222147	0.223072	0.224619	13.4688	13.4772	13.4899	43.9199	43.9201	43.9202
1536	0.00626731	0.00940708	0.0112072	0.0280108	0.0293858	0.0307186	0.269145	0.270388	0.271721	16.3008	16.3092	16.3449	51.032	51.0321	51.0322
3072	0.0117449	0.0149439	0.0176231	0.0715754	0.0742604	0.0757676	0.43203	0.433361	0.436282	20.5144	20.5228	20.5671	48.2103	48.2105	48.2107
6144	0.233331	0.238196	0.241555	0.662309	0.665575	0.667848	1.7917	1.79349	1.79717	31.6798	31.6873	31.7405	52.4336	52.4339	52.4342
