matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,frequency_z,max_depth,mesh,mesh_family,scale_x,scale_y,scale_z,solver,unknowns
20,2.992397996059992e-16,1.4204475885628975e-14,20,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
21,8.473010597173657e-17,3.217811131837388e-15,21,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
22,1.1329682215498287e-17,7.787127660813852e-16,22,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.1,101312,0.5,0.5,0.25,6,adaptive(0.1),adapt,1.0,1.0,2.0,accelerated_gmg,91809
0,0.01024182362436555,0.5914867653244171,0,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
1,0.0018071692725147867,0.08309539865738143,1,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
2,0.0004363468121423479,0.01503844711113471,2,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
3,8.639210227838899e-05,0.002745000731884233,3,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
4,1.3352130734114252e-05,0.0004699310032936602,4,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
5,4.03794253296595e-06,0.00011640584309968963,5,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
6,7.193535882839801e-07,2.658357244721278e-05,6,scale=[1_1_2] freq=[0.5_0.5_0.25] solver=accelerated_gmg mesh=adapt interpolation=0.2,45760,0.5,0.5,0.25,6,adaptive(0.2),adapt,1.0,1.0,2.0,accelerated_gmg,39809
