matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,max_depth,mesh,mesh_family,scale_x,scale_y,solver,unknowns
24,3.611245855216305e-13,,24,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
25,1.3344261515838605e-13,,25,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
26,4.850448070697754e-14,,26,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
27,1.8912029123254117e-14,,27,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
28,6.547657438969344e-15,,28,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
29,2.1041160759272037e-15,,29,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,accelerated_amg,39513
0,0.14325207632589326,,0,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=5.0e-3,95392,0.5,1.0,9,adaptive(5.0e-3),adapt,1.0,0.5,accelerated_amg,94401
1,1.6590649247221072,,1,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=adapt interpolation=5.0e-3,95392,0.5,1.0,9,adaptive(5.0e-3),adapt,1.0,0.5,accelerated_amg,94401
0,2.9297206217125233,,0,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
1,0.2499237856440504,,1,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
2,0.02294667292291736,,2,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
3,0.0021306113493884207,,3,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
4,0.00019866695836467355,,4,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
5,1.3399740042579005e-05,,5,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
6,1.3504401826782308e-06,,6,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
7,1.4004331097087432e-07,,7,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
8,1.2850253088832943e-08,,8,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
9,1.3099817825097745e-09,,9,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
10,1.625687796058158e-10,,10,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
11,1.8681727779468352e-11,,11,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
12,2.224251238569304e-12,,12,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
13,2.5400226828154953e-13,,13,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
14,3.236266003792372e-14,,14,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
15,4.437466150334418e-15,,15,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=4,256,0.5,1.0,4,uniform(4),uniform,1.0,0.5,accelerated_amg,289
0,0.7685895781071249,,0,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
1,1.329911723886117,,1,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=6,4096,0.5,1.0,6,uniform(6),uniform,1.0,0.5,accelerated_amg,4225
