matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,frequency_z,max_depth,mesh,mesh_family,scale_x,scale_y,scale_z,solver,unknowns
10,7.293200528010227e-12,,10,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_amg,12769
11,5.93640413731679e-13,,11,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_amg,12769
12,4.6602114918974256e-14,,12,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_amg,12769
13,3.526218437081462e-15,,13,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_amg mesh=adapt interpolation=5.0e-1,14400,0.5,0.5,0.5,5,adaptive(5.0e-1),adapt,1.0,1.0,1.0,accelerated_amg,12769
0,0.03753838193637576,0.9629646602073295,0,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
1,0.011064848820080807,0.17822176359870365,1,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
2,0.0006931055593055319,0.015462265667155375,2,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
3,9.718954075929479e-05,0.0020999699672830064,3,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
4,2.0599744030028923e-05,0.0003370163559032979,4,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
5,1.2084921939589166e-06,3.6358779124075105e-05,5,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
6,2.1029513952855784e-07,2.744171910346723e-06,6,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
7,2.335006722641618e-08,3.8539157750394695e-07,7,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
8,2.8606906999801814e-09,7.37125804007418e-08,8,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
9,3.7751424535934304e-10,1.0715556197940916e-08,9,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
10,3.7705307163024054e-11,1.0138912847106563e-09,10,scale=[1_1_1] freq=[0.5_0.5_0.5] solver=accelerated_gmg mesh=adapt interpolation=1.0e-0,6784,0.5,0.5,0.5,5,adaptive(1.0e-0),adapt,1.0,1.0,1.0,accelerated_gmg,6005
